	Classifier	Threshold	FAR	FRR
247	"[[ 0]
 [10]
 [11]
 [12]]"	18447.01	9.9610468009022e-05	0.132325585948973
248	"[[ 0]
 [10]
 [11]
 [13]]"	18530.04	9.9610468009022e-05	0.140745237022968
249	"[[ 0]
 [10]
 [11]]"	13989.769999999999	9.9610468009022e-05	0.19243797850051889
250	"[[ 0]
 [10]
 [12]
 [13]]"	18858.52	9.9610468009022e-05	0.12349474261322473
251	"[[ 0]
 [10]
 [12]]"	13874.100000000002	9.9610468009022e-05	0.125648606841456
252	"[[ 0]
 [10]
 [13]]"	13918.95	9.9610468009022e-05	0.1308178809892111
253	"[[ 0]
 [10]]"	9178.7	9.9610468009022e-05	0.17058604687591783
254	"[[ 0]
 [11]
 [12]
 [13]]"	19092.690000000002	9.9610468009022e-05	0.12605979910320925
255	"[[ 0]
 [11]
 [12]]"	14073.84	9.9610468009022e-05	0.1261381214387813
256	"[[ 0]
 [11]
 [13]]"	14109.010000000002	9.9610468009022e-05	0.13023046347242076
257	"[[ 0]
 [11]]"	9299.79	9.9610468009022e-05	0.16355661725832665
258	"[[ 0]
 [12]
 [13]]"	14983.060000000001	9.9610468009022e-05	0.15433416224471813
259	"[[ 0]
 [12]]"	9873.42	9.9610468009022e-05	0.15521528851990365
260	"[[ 0]
 [13]]"	9874.32	9.9610468009022e-05	0.16302794149321534
261	[[0]]	5023.26	9.9610468009022e-05	0.2530790468171761
262	"[[1]
 [2]
 [3]]"	14801.989999999998	9.9610468009022e-05	0.22427600791055588
263	"[[1]
 [2]
 [4]]"	14583.65	9.9610468009022e-05	0.20749544751424487
